amount,time_hour,merchant_category,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase,is_weekend,is_night,num_transactions_last_hour,num_transactions_last_day,is_fraud
463.07,22,3,11.5,8.78,0.871,0,0,0,6,0
11.74,17,8,1.9,16.19,1.015,0,0,2,3,0
23.35,19,4,4.4,9.1,0.747,0,0,1,3,0
33.17,17,9,0.84,4.25,0.572,0,0,3,7,0
96.96,9,7,9.25,5.86,1.376,0,0,1,11,0
13.12,20,4,2.54,0.03,1.35,0,1,1,3,0
41.91,22,0,13.57,4.87,1.815,0,1,0,1,0
38.45,16,5,3.95,1.68,0.728,0,0,1,8,0
65.58,21,3,26.51,1.65,1.266,0,0,1,6,0
31.33,12,6,4.65,16.66,0.737,0,0,2,3,0
191.61,21,8,1.12,1.21,1.404,0,0,0,7,0
52.51,8,0,1.27,5.92,0.671,0,0,1,6,0
9.98,9,3,8.73,3.61,1.281,0,0,0,7,0
102.33,12,4,6.62,0.43,2.034,0,0,0,7,0
47.5,17,6,1.51,0.68,1.127,1,0,2,3,0
13.59,17,2,0.17,5.47,0.6,1,0,0,2,0
62.35,22,4,9.79,3.2,0.705,0,0,1,6,0
138.88,6,7,48.62,85.3,4.933,0,0,4,10,1
49.35,8,7,0.35,2.18,1.03,0,0,2,3,0
51.21,12,8,0.13,4.61,0.537,1,0,0,4,0
6.06,6,4,18.32,94.8,3.501,1,0,4,21,1
83.23,18,1,8.04,1.77,0.888,0,0,1,8,0
74.74,19,7,2.53,5.35,1.953,1,0,0,5,0
120.93,18,2,9.23,0.73,0.554,0,0,2,7,0
8.72,12,4,17.11,1.62,1.162,1,0,0,5,0
1035.98,4,6,31.94,15.93,17.431,0,1,4,15,1
63.13,16,6,24.13,6.11,0.784,0,0,1,3,0
126.29,13,0,14.94,22.31,1.114,0,0,1,11,0
26.69,0,8,19.83,3.51,0.561,0,0,1,5,0
37.39,10,3,5.48,0.31,0.556,1,0,2,2,0
60.05,11,8,5.2,2.83,0.733,1,0,0,6,0
36.43,10,0,10.59,11.77,0.474,0,0,1,4,0
116.92,9,0,0.23,9.31,1.397,0,0,0,6,0
51.14,17,8,7.22,1.44,0.599,1,0,1,6,0
35.04,11,4,2.0,3.59,0.776,0,0,2,2,0
28.53,11,0,20.45,14.29,0.7,0,0,1,11,0
154.52,18,7,0.78,0.58,0.965,0,0,0,6,0
82.92,18,2,0.47,1.36,1.068,1,0,1,4,0
36.11,22,5,10.38,8.65,1.111,0,0,0,1,0
6.9,14,2,11.72,1.37,0.562,0,0,1,7,0
52.93,16,4,10.15,1.72,0.813,0,0,2,4,0
9.77,11,7,0.21,7.16,1.093,0,1,1,10,0
8.81,14,7,5.61,7.3,0.373,0,0,1,6,0
5.12,18,7,1.96,6.06,1.529,1,0,0,8,0
12.22,11,1,9.51,10.48,0.472,1,0,1,2,0
40.32,18,0,1.5,0.84,1.111,0,0,0,5,0
25.04,10,6,1.75,0.12,0.584,0,0,1,4,0
8.7,21,3,1.16,9.94,1.078,1,0,0,8,0
170.71,15,1,0.38,2.02,1.205,0,0,0,5,0
243.63,21,0,32.73,4.96,0.941,0,0,1,4,0
5.55,17,8,5.57,16.1,0.89,0,0,0,7,0
12.13,14,5,23.78,6.03,0.93,0,0,0,4,0
58.37,12,2,17.25,3.63,0.836,0,0,1,8,0
12.85,14,5,0.2,6.15,0.468,0,0,0,0,0
52.12,19,6,1.89,1.39,0.817,0,0,0,7,0
147.74,12,9,1.25,3.53,0.666,0,0,2,4,0
26.93,11,5,5.4,2.63,1.088,0,0,1,3,0
122.11,12,0,2.96,7.76,0.757,0,0,0,6,0
51.06,16,9,6.96,1.29,1.324,0,1,1,7,0
31.73,14,5,5.05,8.24,1.193,0,0,0,6,0
57.4,12,8,9.24,4.39,0.966,1,0,0,5,0
92.78,12,2,1.41,7.85,0.947,0,0,0,4,0
13.53,12,8,3.42,5.75,0.549,0,0,2,8,0
39.43,16,1,4.45,3.15,1.301,1,1,2,9,0
8.92,20,5,0.53,10.0,0.685,0,0,1,6,0
62.32,14,1,7.9,2.83,0.879,0,0,2,3,0
28.48,11,4,10.21,2.42,0.778,0,0,0,6,0
46.37,7,0,0.72,3.4,1.144,0,0,2,5,0
23.02,16,8,38.78,0.83,1.054,0,0,0,6,0
12.98,23,1,30.03,5.91,0.763,0,0,0,1,0
40.87,11,4,29.96,2.42,0.633,1,0,2,5,0
34.12,20,1,1.86,3.66,1.709,0,0,1,5,0
24.59,21,2,2.82,0.02,1.072,0,0,1,4,0
55.05,18,4,5.38,8.3,1.783,1,0,0,6,0
41.05,14,4,2.94,2.6,1.623,1,0,0,9,0
70.6,22,0,23.12,1.09,0.853,0,0,0,7,0
16.76,9,1,8.7,25.74,0.888,0,0,1,2,0
13.13,12,0,1.41,1.18,1.371,0,0,2,6,0
49.69,13,7,6.3,1.36,1.643,0,0,0,4,0
35.16,12,3,27.7,2.54,1.68,0,0,1,7,0
5.79,2,8,0.9,0.19,1.191,0,0,1,6,0
9.47,20,6,2.24,2.05,0.945,0,0,0,3,0
25.16,1,9,8.0,1.45,0.812,0,0,0,6,0
59.82,18,0,4.07,2.35,1.652,0,0,2,5,0
113.07,15,7,0.96,5.57,0.343,0,0,0,3,0
52.99,13,8,19.73,2.11,1.249,1,0,1,4,0
95.71,10,5,12.49,3.59,1.559,0,0,2,6,0
53.84,16,7,13.94,2.74,1.078,0,0,1,5,0
96.87,18,0,2.93,11.31,0.599,0,0,1,6,0
80.75,12,1,4.16,1.87,0.918,0,0,1,5,0
7.29,10,7,0.37,0.63,0.994,1,0,2,6,0
7.82,21,8,15.15,5.42,0.599,0,0,2,5,0
14.32,9,8,3.45,2.9,0.899,0,0,1,9,0
32.28,17,1,9.81,11.03,0.843,0,0,1,6,0
11.72,18,6,2.21,3.66,0.738,1,0,0,2,0
13.66,8,8,0.99,5.4,2.026,1,0,2,7,0
165.72,19,3,1.36,10.02,0.472,0,0,1,2,0
106.23,12,8,2.16,3.68,0.604,0,0,0,3,0
24.27,20,6,3.53,0.35,0.576,0,1,1,2,0
179.03,17,5,0.27,2.75,1.122,0,0,0,4,0
104.51,21,3,8.26,4.15,0.602,0,0,3,6,0
49.31,9,9,16.87,13.01,0.592,1,0,1,1,0
22.8,11,5,5.45,7.84,1.323,0,0,1,6,0
20.3,20,2,26.52,9.03,1.144,1,0,0,6,0
14.14,18,9,0.35,1.11,1.091,0,1,1,4,0
12.0,8,9,9.87,1.75,1.166,0,0,1,2,0
73.22,8,0,1.39,4.55,1.241,1,1,0,4,0
245.29,18,3,0.9,4.97,0.809,0,0,1,6,0
33.59,19,2,18.25,2.76,0.434,0,0,0,2,0
66.61,21,8,13.16,0.81,0.721,1,0,1,5,0
33.55,14,0,9.61,1.31,1.104,1,0,0,4,0
7.44,12,9,13.99,6.01,0.448,0,0,0,4,0
53.12,15,6,7.01,5.77,1.362,0,0,0,6,0
10.56,15,1,21.35,6.95,1.837,0,0,0,4,0
13.82,16,0,0.37,1.6,0.919,1,1,2,5,0
49.07,12,0,7.38,1.14,0.748,0,0,1,3,0
4.19,21,9,2.28,0.94,0.768,0,0,1,4,0
16.39,22,7,19.13,2.6,0.869,0,0,0,8,0
3.84,10,9,15.24,8.68,0.761,0,0,0,6,0
16.37,13,5,24.93,4.58,2.07,0,0,0,8,0
18.33,11,3,0.65,6.68,1.098,1,0,0,1,0
212.01,16,8,3.47,5.57,0.762,0,0,1,1,0
25.27,15,1,3.23,4.01,0.597,0,0,1,4,0
87.86,8,4,11.39,1.67,1.205,0,0,0,9,0
19.7,22,0,1.96,3.87,1.26,0,0,1,10,0
27.16,11,7,3.45,1.25,2.078,1,0,0,2,0
22.1,15,3,5.51,4.63,0.569,1,0,0,7,0
16.47,12,0,5.59,9.65,0.822,1,0,1,5,0
50.24,7,0,0.82,0.35,1.531,0,0,1,3,0
27.51,14,7,12.22,2.55,0.984,0,0,0,6,0
54.9,14,1,4.41,1.08,1.213,0,0,0,1,0
54.12,16,6,18.28,1.62,0.669,0,0,0,2,0
43.4,16,6,10.09,4.65,0.479,0,0,0,8,0
24.91,8,8,1.08,3.65,1.366,0,0,1,1,0
44.57,17,0,0.59,4.51,1.155,1,0,1,6,0
48.63,19,2,0.83,0.55,1.059,0,0,1,3,0
44.53,7,4,13.61,1.12,0.491,0,0,2,7,0
43.3,11,5,4.22,3.79,0.709,1,0,1,1,0
16.17,17,9,0.21,4.24,0.862,0,0,2,5,0
21.67,8,5,5.33,13.46,1.143,0,0,2,7,0
70.24,10,5,11.05,17.03,1.28,0,0,1,4,0
14.98,12,7,16.66,11.08,0.899,1,0,1,5,0
38.26,8,4,0.41,3.68,1.386,1,0,0,1,0
11.5,13,3,7.1,1.95,0.959,1,0,1,5,0
6.33,11,1,1.9,2.59,1.611,0,1,0,8,0
51.54,9,7,8.03,10.58,1.065,1,0,0,4,0
10.07,11,1,4.49,10.2,1.032,0,0,2,3,0
20.74,11,5,0.48,6.36,0.943,0,0,1,6,0
84.29,19,5,13.3,9.65,0.934,0,0,2,6,0
11.18,10,1,17.81,1.01,1.033,0,0,0,5,0
76.49,9,2,13.47,3.62,0.792,1,0,0,7,0
74.99,9,1,0.65,17.46,2.613,1,1,0,7,0
29.26,16,0,0.66,4.58,1.452,1,0,1,8,0
64.41,16,2,17.56,0.87,1.979,1,0,0,4,0
68.32,12,1,7.96,0.84,1.42,0,0,0,9,0
10.74,22,0,3.97,15.83,1.1,0,0,2,4,0
12.44,14,2,6.4,0.05,0.689,0,0,3,7,0
211.09,9,0,1.88,1.84,0.71,0,0,1,1,0
8.86,11,5,1.18,0.53,1.087,0,0,0,5,0
16.67,17,6,5.2,20.43,0.975,0,1,0,6,0
24.74,19,6,2.38,8.75,0.909,0,0,1,3,0
12.36,14,3,10.02,3.71,1.327,0,0,1,3,0
15.25,18,2,5.64,12.74,0.892,0,0,0,3,0
53.12,9,2,9.23,3.65,1.027,0,0,2,2,0
28.95,18,1,2.48,6.21,1.15,0,0,1,3,0
218.37,10,7,0.62,7.13,1.16,0,0,1,6,0
26.66,21,0,3.7,10.77,1.792,0,0,0,4,0
10.77,18,4,16.88,1.5,0.715,0,0,1,5,0
3.05,10,9,0.53,19.99,1.188,0,1,0,3,0
4.62,17,5,4.05,5.84,1.722,1,0,2,5,0
16.74,22,4,2.4,4.78,1.262,1,0,0,4,0
57.9,17,7,2.12,1.0,1.842,1,1,1,5,0
233.48,16,8,1.37,12.69,0.676,0,0,0,10,0
65.85,11,3,5.64,4.37,1.267,0,0,2,10,0
55.66,15,4,9.34,0.58,1.152,0,0,1,8,0
32.43,15,5,14.98,5.33,0.825,0,0,1,6,0
66.55,18,8,10.2,6.7,0.411,0,1,1,4,0
7.06,10,0,5.73,0.63,0.807,1,0,1,6,0
12.99,11,5,12.2,10.71,1.711,0,0,0,2,0
54.91,12,3,12.8,10.28,1.09,0,0,2,4,0
14.14,6,3,2.78,0.94,1.552,0,1,1,8,0
16.33,14,4,2.61,13.26,1.371,0,0,1,4,0
18.1,23,3,1.51,3.41,1.565,0,0,2,2,0
50.87,22,4,4.69,3.36,0.859,0,0,0,6,0
18.14,18,1,1.33,2.48,0.998,0,0,0,6,0
60.84,21,7,4.25,1.39,0.561,0,0,1,4,0
53.06,16,1,9.35,13.02,1.826,1,0,1,3,0
119.87,13,2,3.15,2.77,0.569,0,0,2,8,0
72.99,21,4,10.53,6.37,1.505,1,0,1,8,0
49.36,0,7,3.39,13.64,0.519,0,0,0,7,0
27.96,11,2,0.26,6.24,0.937,1,0,1,6,0
19.82,22,5,1.99,11.37,1.858,0,0,2,6,0
83.88,9,5,1.48,10.51,1.399,1,0,3,7,0
21.12,15,4,3.99,1.01,1.224,0,0,1,3,0
16.49,13,7,11.49,0.09,0.724,1,0,1,5,0
21.81,17,5,1.38,3.24,3.256,0,0,3,4,0
35.73,10,2,16.43,7.06,0.525,0,0,2,4,0
18.06,8,4,10.74,1.1,0.899,0,0,0,3,0
37.64,7,3,0.74,0.58,0.532,1,0,0,4,0
90.87,12,5,10.64,0.01,0.894,0,0,1,3,0
14.2,21,2,8.82,0.28,0.745,0,0,1,1,0
23.48,14,3,17.57,5.25,1.14,0,1,2,6,0
71.85,10,0,9.2,7.96,1.548,0,0,0,8,0
59.51,12,6,9.24,6.24,1.075,1,0,1,5,0
20.27,19,7,5.62,13.61,0.951,0,0,2,7,0
11.23,22,4,0.17,0.58,0.647,0,0,0,1,0
25.07,16,0,25.43,2.35,1.047,0,0,1,5,0
36.57,1,5,1.86,14.04,0.821,1,0,0,4,0
438.59,21,9,5.89,5.34,0.953,1,0,1,2,0
99.36,13,6,25.38,1.22,1.919,1,0,2,4,0
4.37,11,0,8.59,1.26,0.895,1,0,1,2,0
27.81,13,4,15.2,5.65,1.085,0,1,1,5,0
70.77,18,1,5.07,0.62,0.616,1,0,0,5,0
45.75,11,6,3.2,0.58,1.379,0,0,1,9,0
47.82,13,1,11.29,1.07,1.307,0,1,0,7,0
30.49,13,7,7.32,10.84,0.971,1,0,0,6,0
9.87,12,4,3.27,1.88,0.985,0,0,0,3,0
30.31,14,5,2.37,7.97,1.412,1,0,0,5,0
24.77,14,6,6.89,1.79,0.525,0,0,2,2,0
46.63,14,5,8.64,5.02,0.818,0,0,0,5,0
21.16,8,0,1.3,0.58,0.396,0,0,3,10,0
71.75,8,3,8.2,0.61,1.02,0,0,1,7,0
21.19,21,0,0.39,1.94,0.927,0,0,0,8,0
15.33,4,5,0.46,6.94,0.89,0,0,1,5,0
27.46,12,3,8.6,3.49,0.649,1,0,3,3,0
3.04,7,3,5.63,17.18,1.239,0,0,0,5,0
32.04,21,4,1.34,5.99,1.067,0,0,0,5,0
60.89,8,1,7.41,1.02,2.048,0,0,1,3,0
321.32,3,0,3.3,0.04,1.278,0,0,1,3,0
17.82,13,0,7.18,2.28,1.232,0,0,0,3,0
58.54,17,1,17.12,4.65,1.614,0,0,1,6,0
156.2,19,3,2.91,2.34,1.479,0,0,0,7,0
12.27,13,1,4.34,11.41,0.516,0,1,3,3,0
