gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,36,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.36,2381.54,0
Female,0,No,No,19,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.46,1647.45,0
Male,1,No,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,101.14,3674.24,0
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),48.5,591.52,0
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,110.1,894.97,1
Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.07,162.03,0
Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,95.08,0.0,0
Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.13,1838.79,0
Male,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.91,3003.64,0
Female,0,Yes,Yes,7,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),78.72,595.35,0
Female,0,Yes,No,1,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),68.76,41.58,1
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),81.95,151.41,1
Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,107.64,1361.88,1
Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.84,359.75,1
Male,0,Yes,No,22,No,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),56.71,1182.93,0
Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,84.42,1416.65,0
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,75.64,400.46,0
Male,0,Yes,No,15,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.72,1162.75,0
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.16,711.78,0
Male,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.28,40.57,0
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,111.0,380.69,0
Female,0,No,No,1,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),70.52,7.88,0
Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,118.0,262.27,0
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),105.78,320.27,0
Male,0,No,No,12,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,85.31,1054.37,0
Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,54.85,303.13,0
Female,1,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.39,782.44,1
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),108.02,16.09,0
Female,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,63.74,0.0,0
Female,1,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,97.36,1489.13,0
Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.73,1333.45,0
Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),101.64,2113.46,1
Female,0,No,No,3,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.82,235.08,0
Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),77.42,714.5,0
Male,1,Yes,No,12,No,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,38.44,446.5,0
Female,0,No,No,3,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),61.77,165.86,0
Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,108.17,2334.77,0
Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,118.0,3528.6,0
Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,73.26,1276.53,0
Male,0,Yes,No,4,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.99,286.09,1
