gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,8,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,29.54,331.75,0
Female,0,No,Yes,10,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,61.59,595.5,1
Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,95.81,6866.09,0
Male,1,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.41,141.93,0
Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),81.7,2451.38,0
Female,0,No,No,36,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,32.27,1143.3,0
Male,1,Yes,No,22,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),29.62,592.0,0
Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.15,2663.06,0
Male,1,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,102.19,667.55,1
Female,1,No,No,61,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,90.15,5515.51,0
Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.59,192.37,1
Male,1,No,No,16,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),118.0,1898.77,0
Male,0,Yes,Yes,2,No,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),18.0,13.17,0
Male,0,Yes,No,25,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),65.67,1613.5,0
Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),67.88,2455.56,0
Male,1,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,58.53,4245.12,0
Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),80.57,3398.02,0
Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,58.73,1386.98,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),19.94,1459.98,0
Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.14,1261.27,1
Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.74,1839.58,0
Male,0,No,No,29,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.15,2597.95,0
