machine_id,temperature,vibration,pressure,rpm,power_consumption,operating_hours,age_months,maintenance_history_count,failure_within_7days,rolling_mean_temp_24h,rolling_std_vibration_24h,temp_pressure_ratio
45,83.83,0.497,5.2,1674.5,54.45,1386,30,11,0,83.83,0.0,16.1212
46,69.63,1.965,5.62,1584.9,38.45,11434,19,9,0,69.63,0.0,12.3897
30,59.41,3.885,5.74,1389.2,44.69,30737,90,2,0,59.41,0.0,10.3502
5,72.22,1.777,5.06,1494.1,57.67,31604,49,5,0,72.22,0.0,14.2727
44,79.56,6.494,6.54,1626.9,74.39,15528,41,3,0,79.56,0.0,12.1651
27,79.61,1.5,5.68,1704.6,84.94,2182,52,16,0,79.61,0.0,14.0158
46,60.85,1.29,6.74,1206.8,31.37,11255,19,9,0,65.24,0.4773,9.0282
17,67.0,3.341,4.48,1493.5,58.3,48738,49,0,0,67.0,0.0,14.9554
46,65.54,1.114,5.82,1517.4,61.59,11366,19,9,0,65.34,0.4492,11.2612
5,63.46,0.964,4.72,1210.5,50.32,31245,49,5,0,67.84,0.5749,13.4449
10,51.64,2.72,5.83,1605.5,72.75,31299,81,9,0,51.64,0.0,8.8576
18,67.19,1.054,4.66,1098.6,42.38,32748,65,18,0,67.19,0.0,14.4185
32,65.55,1.467,5.94,1234.7,91.35,25905,56,0,0,65.55,0.0,11.0354
34,64.21,1.394,4.69,1394.5,31.35,36788,12,19,0,64.21,0.0,13.6908
30,63.29,0.992,5.23,1388.6,47.59,31064,90,2,0,61.35,2.0457,12.1013
28,64.5,2.46,5.5,1463.7,54.74,48079,40,2,0,64.5,0.0,11.7273
49,50.74,2.101,5.73,1385.1,56.55,35168,62,5,0,50.74,0.0,8.8551
31,68.27,1.51,4.81,1335.2,38.53,8493,56,3,0,68.27,0.0,14.1933
2,53.96,1.912,5.24,1409.3,71.52,6710,88,17,0,53.96,0.0,10.2977
24,77.89,2.432,4.95,1756.6,46.24,2474,86,13,0,77.89,0.0,15.7354
2,63.22,2.243,5.64,1501.6,56.31,6784,88,17,0,58.59,0.2341,11.2092
43,48.94,3.12,6.16,1654.1,56.89,22156,106,18,0,48.94,0.0,7.9448
1,65.29,2.257,4.81,1239.5,72.14,2653,74,9,0,65.29,0.0,13.5738
33,66.56,1.908,4.61,1143.1,54.21,17531,109,0,0,66.56,0.0,14.4382
28,72.36,2.147,6.99,1419.0,76.62,47676,40,2,0,68.43,0.2213,10.3519
41,78.36,2.791,4.93,1587.6,43.65,16708,22,7,0,78.36,0.0,15.8945
16,61.97,1.371,7.11,1434.3,37.87,3162,83,12,0,61.97,0.0,8.7159
25,61.68,2.792,5.24,1079.0,60.08,8986,25,2,0,61.68,0.0,11.771
20,64.18,2.49,6.73,1056.7,40.37,24880,31,3,0,64.18,0.0,9.5364
21,80.56,2.229,4.72,1501.1,42.25,41302,7,11,0,80.56,0.0,17.0678
6,66.13,1.675,4.97,1743.9,66.73,28615,71,2,0,66.13,0.0,13.3058
