threshold,true_positives,false_positives,false_negatives,true_negatives,recall,precision,false_positive_rate,total_cost
0.05,8,6,0,86,1.0,0.5714,0.0652,9000
0.06,8,6,0,86,1.0,0.5714,0.0652,9000
0.07,8,4,0,88,1.0,0.6667,0.0435,6000
0.08,8,4,0,88,1.0,0.6667,0.0435,6000
0.09,8,3,0,89,1.0,0.7273,0.0326,4500
0.1,8,3,0,89,1.0,0.7273,0.0326,4500
0.11,8,3,0,89,1.0,0.7273,0.0326,4500
0.12,8,3,0,89,1.0,0.7273,0.0326,4500
0.13,8,2,0,90,1.0,0.8,0.0217,3000
0.14,8,2,0,90,1.0,0.8,0.0217,3000
0.15,8,1,0,91,1.0,0.8889,0.0109,1500
0.16,8,1,0,91,1.0,0.8889,0.0109,1500
0.17,8,1,0,91,1.0,0.8889,0.0109,1500
0.18,8,1,0,91,1.0,0.8889,0.0109,1500
0.19,8,1,0,91,1.0,0.8889,0.0109,1500
0.2,8,1,0,91,1.0,0.8889,0.0109,1500
0.21,8,0,0,92,1.0,1.0,0.0,0
0.22,8,0,0,92,1.0,1.0,0.0,0
0.23,8,0,0,92,1.0,1.0,0.0,0
0.24,8,0,0,92,1.0,1.0,0.0,0
0.25,8,0,0,92,1.0,1.0,0.0,0
0.26,8,0,0,92,1.0,1.0,0.0,0
0.27,8,0,0,92,1.0,1.0,0.0,0
0.28,8,0,0,92,1.0,1.0,0.0,0
0.29,8,0,0,92,1.0,1.0,0.0,0
0.3,8,0,0,92,1.0,1.0,0.0,0
0.31,8,0,0,92,1.0,1.0,0.0,0
0.32,8,0,0,92,1.0,1.0,0.0,0
0.33,8,0,0,92,1.0,1.0,0.0,0
0.34,8,0,0,92,1.0,1.0,0.0,0
0.35,8,0,0,92,1.0,1.0,0.0,0
0.36,8,0,0,92,1.0,1.0,0.0,0
0.37,8,0,0,92,1.0,1.0,0.0,0
0.38,8,0,0,92,1.0,1.0,0.0,0
0.39,8,0,0,92,1.0,1.0,0.0,0
0.4,8,0,0,92,1.0,1.0,0.0,0
0.41,8,0,0,92,1.0,1.0,0.0,0
0.42,8,0,0,92,1.0,1.0,0.0,0
0.43,8,0,0,92,1.0,1.0,0.0,0
0.44,8,0,0,92,1.0,1.0,0.0,0
0.45,8,0,0,92,1.0,1.0,0.0,0
0.46,8,0,0,92,1.0,1.0,0.0,0
0.47,8,0,0,92,1.0,1.0,0.0,0
0.48,8,0,0,92,1.0,1.0,0.0,0
0.49,8,0,0,92,1.0,1.0,0.0,0
0.5,8,0,0,92,1.0,1.0,0.0,0
0.51,8,0,0,92,1.0,1.0,0.0,0
0.52,8,0,0,92,1.0,1.0,0.0,0
0.53,8,0,0,92,1.0,1.0,0.0,0
0.54,8,0,0,92,1.0,1.0,0.0,0
0.55,8,0,0,92,1.0,1.0,0.0,0
0.56,8,0,0,92,1.0,1.0,0.0,0
0.57,8,0,0,92,1.0,1.0,0.0,0
0.58,8,0,0,92,1.0,1.0,0.0,0
0.59,8,0,0,92,1.0,1.0,0.0,0
0.6,8,0,0,92,1.0,1.0,0.0,0
0.61,8,0,0,92,1.0,1.0,0.0,0
0.62,8,0,0,92,1.0,1.0,0.0,0
0.63,8,0,0,92,1.0,1.0,0.0,0
0.64,8,0,0,92,1.0,1.0,0.0,0
0.65,8,0,0,92,1.0,1.0,0.0,0
0.66,8,0,0,92,1.0,1.0,0.0,0
0.67,8,0,0,92,1.0,1.0,0.0,0
0.68,8,0,0,92,1.0,1.0,0.0,0
0.69,8,0,0,92,1.0,1.0,0.0,0
0.7,7,0,1,92,0.875,1.0,0.0,15000
0.71,7,0,1,92,0.875,1.0,0.0,15000
0.72,7,0,1,92,0.875,1.0,0.0,15000
0.73,7,0,1,92,0.875,1.0,0.0,15000
0.74,7,0,1,92,0.875,1.0,0.0,15000
0.75,7,0,1,92,0.875,1.0,0.0,15000
0.76,7,0,1,92,0.875,1.0,0.0,15000
0.77,7,0,1,92,0.875,1.0,0.0,15000
0.78,7,0,1,92,0.875,1.0,0.0,15000
0.79,7,0,1,92,0.875,1.0,0.0,15000
0.8,7,0,1,92,0.875,1.0,0.0,15000
0.81,7,0,1,92,0.875,1.0,0.0,15000
0.82,7,0,1,92,0.875,1.0,0.0,15000
0.83,7,0,1,92,0.875,1.0,0.0,15000
0.84,7,0,1,92,0.875,1.0,0.0,15000
0.85,7,0,1,92,0.875,1.0,0.0,15000
0.86,7,0,1,92,0.875,1.0,0.0,15000
0.87,7,0,1,92,0.875,1.0,0.0,15000
0.88,7,0,1,92,0.875,1.0,0.0,15000
0.89,7,0,1,92,0.875,1.0,0.0,15000
0.9,7,0,1,92,0.875,1.0,0.0,15000
0.91,7,0,1,92,0.875,1.0,0.0,15000
0.92,6,0,2,92,0.75,1.0,0.0,30000
0.93,6,0,2,92,0.75,1.0,0.0,30000
0.94,6,0,2,92,0.75,1.0,0.0,30000
0.95,6,0,2,92,0.75,1.0,0.0,30000
