user_id,item_id,rating,timestamp
154,59,1,2024-01-01 00:00:00
450,29,1,2024-01-01 01:00:00
73,106,3,2024-01-01 02:00:00
201,17,2,2024-01-01 03:00:00
296,142,2,2024-01-01 04:00:00
17,164,2,2024-01-01 05:00:00
129,186,4,2024-01-01 06:00:00
217,24,4,2024-01-01 07:00:00
61,109,3,2024-01-01 08:00:00
427,191,2,2024-01-01 09:00:00
104,91,3,2024-01-01 10:00:00
42,25,2,2024-01-01 11:00:00
25,187,1,2024-01-01 12:00:00
39,32,5,2024-01-01 13:00:00
291,116,5,2024-01-01 14:00:00
131,82,2,2024-01-01 15:00:00
498,110,3,2024-01-01 16:00:00
229,146,4,2024-01-01 17:00:00
108,37,2,2024-01-01 18:00:00
172,26,2,2024-01-01 19:00:00
435,137,4,2024-01-01 20:00:00
478,64,2,2024-01-01 21:00:00
102,72,1,2024-01-01 22:00:00
354,148,4,2024-01-01 23:00:00
12,182,1,2024-01-02 00:00:00
275,106,5,2024-01-02 01:00:00
101,86,4,2024-01-02 02:00:00
44,158,4,2024-01-02 03:00:00
443,53,3,2024-01-02 04:00:00
305,92,3,2024-01-02 05:00:00
445,99,4,2024-01-02 06:00:00
17,191,5,2024-01-02 07:00:00
330,11,2,2024-01-02 08:00:00
57,31,3,2024-01-02 09:00:00
311,177,5,2024-01-02 10:00:00
497,100,5,2024-01-02 11:00:00
303,87,3,2024-01-02 12:00:00
12,147,2,2024-01-02 13:00:00
318,140,3,2024-01-02 14:00:00
80,15,5,2024-01-02 15:00:00
216,159,1,2024-01-02 16:00:00
339,171,3,2024-01-02 17:00:00
264,101,5,2024-01-02 18:00:00
479,165,3,2024-01-02 19:00:00
149,29,5,2024-01-02 20:00:00
81,114,2,2024-01-02 21:00:00
215,107,5,2024-01-02 22:00:00
485,154,4,2024-01-02 23:00:00
374,108,1,2024-01-03 00:00:00
464,130,5,2024-01-03 01:00:00
198,84,3,2024-01-03 02:00:00
200,15,3,2024-01-03 03:00:00
25,132,5,2024-01-03 04:00:00
466,50,4,2024-01-03 05:00:00
89,166,5,2024-01-03 06:00:00
268,23,2,2024-01-03 07:00:00
143,59,4,2024-01-03 08:00:00
59,90,5,2024-01-03 09:00:00
410,115,1,2024-01-03 10:00:00
489,75,4,2024-01-03 11:00:00
365,156,5,2024-01-03 12:00:00
26,194,1,2024-01-03 13:00:00
47,123,5,2024-01-03 14:00:00
288,136,2,2024-01-03 15:00:00
266,157,3,2024-01-03 16:00:00
16,139,5,2024-01-03 17:00:00
199,18,4,2024-01-03 18:00:00
401,183,5,2024-01-03 19:00:00
407,50,5,2024-01-03 20:00:00
282,142,5,2024-01-03 21:00:00
469,118,5,2024-01-03 22:00:00
86,137,4,2024-01-03 23:00:00
250,139,4,2024-01-04 00:00:00
391,191,5,2024-01-04 01:00:00
270,108,3,2024-01-04 02:00:00
335,67,5,2024-01-04 03:00:00
117,181,4,2024-01-04 04:00:00
7,167,2,2024-01-04 05:00:00
137,78,5,2024-01-04 06:00:00
371,184,5,2024-01-04 07:00:00
176,156,5,2024-01-04 08:00:00
328,75,5,2024-01-04 09:00:00
498,39,1,2024-01-04 10:00:00
315,25,5,2024-01-04 11:00:00
215,21,4,2024-01-04 12:00:00
477,138,4,2024-01-04 13:00:00
82,171,1,2024-01-04 14:00:00
223,15,5,2024-01-04 15:00:00
478,48,3,2024-01-04 16:00:00
372,86,5,2024-01-04 17:00:00
423,149,4,2024-01-04 18:00:00
483,188,2,2024-01-04 19:00:00
402,116,2,2024-01-04 20:00:00
443,50,3,2024-01-04 21:00:00
490,151,5,2024-01-04 22:00:00
103,141,1,2024-01-04 23:00:00
273,69,5,2024-01-05 00:00:00
14,4,3,2024-01-05 01:00:00
159,78,3,2024-01-05 02:00:00
152,200,3,2024-01-05 03:00:00
483,9,2,2024-01-05 04:00:00
108,121,5,2024-01-05 05:00:00
188,115,5,2024-01-05 06:00:00
301,163,1,2024-01-05 07:00:00
98,101,3,2024-01-05 08:00:00
131,149,3,2024-01-05 09:00:00
293,186,4,2024-01-05 10:00:00
171,146,4,2024-01-05 11:00:00
424,97,2,2024-01-05 12:00:00
474,200,5,2024-01-05 13:00:00
183,81,1,2024-01-05 14:00:00
471,43,1,2024-01-05 15:00:00
364,95,3,2024-01-05 16:00:00
39,6,1,2024-01-05 17:00:00
15,67,3,2024-01-05 18:00:00
376,140,5,2024-01-05 19:00:00
497,100,1,2024-01-05 20:00:00
4,12,3,2024-01-05 21:00:00
349,66,5,2024-01-05 22:00:00
470,2,5,2024-01-05 23:00:00
409,143,3,2024-01-06 00:00:00
397,151,3,2024-01-06 01:00:00
210,157,2,2024-01-06 02:00:00
161,81,5,2024-01-06 03:00:00
16,135,3,2024-01-06 04:00:00
493,156,5,2024-01-06 05:00:00
426,142,1,2024-01-06 06:00:00
108,172,4,2024-01-06 07:00:00
382,158,4,2024-01-06 08:00:00
450,160,3,2024-01-06 09:00:00
311,70,3,2024-01-06 10:00:00
227,115,5,2024-01-06 11:00:00
170,88,3,2024-01-06 12:00:00
34,6,5,2024-01-06 13:00:00
414,27,3,2024-01-06 14:00:00
251,82,5,2024-01-06 15:00:00
247,88,3,2024-01-06 16:00:00
269,120,2,2024-01-06 17:00:00
141,24,5,2024-01-06 18:00:00
274,102,2,2024-01-06 19:00:00
416,34,2,2024-01-06 20:00:00
96,168,2,2024-01-06 21:00:00
227,47,2,2024-01-06 22:00:00
379,24,1,2024-01-06 23:00:00
39,65,4,2024-01-07 00:00:00
302,18,1,2024-01-07 01:00:00
500,44,3,2024-01-07 02:00:00
29,76,3,2024-01-07 03:00:00
446,57,4,2024-01-07 04:00:00
497,107,4,2024-01-07 05:00:00
477,156,4,2024-01-07 06:00:00
318,124,2,2024-01-07 07:00:00
245,199,1,2024-01-07 08:00:00
236,151,3,2024-01-07 09:00:00
185,162,1,2024-01-07 10:00:00
272,139,1,2024-01-07 11:00:00
440,163,1,2024-01-07 12:00:00
236,116,4,2024-01-07 13:00:00
239,93,4,2024-01-07 14:00:00
377,42,3,2024-01-07 15:00:00
266,28,3,2024-01-07 16:00:00
414,123,3,2024-01-07 17:00:00
409,24,1,2024-01-07 18:00:00
359,136,4,2024-01-07 19:00:00
340,106,2,2024-01-07 20:00:00
389,118,1,2024-01-07 21:00:00
65,53,5,2024-01-07 22:00:00
478,200,1,2024-01-07 23:00:00
177,132,4,2024-01-08 00:00:00
3,100,5,2024-01-08 01:00:00
429,5,1,2024-01-08 02:00:00
142,49,4,2024-01-08 03:00:00
376,98,4,2024-01-08 04:00:00
158,30,2,2024-01-08 05:00:00
498,72,1,2024-01-08 06:00:00
324,103,4,2024-01-08 07:00:00
146,63,3,2024-01-08 08:00:00
446,175,4,2024-01-08 09:00:00
293,26,2,2024-01-08 10:00:00
153,185,4,2024-01-08 11:00:00
432,37,1,2024-01-08 12:00:00
193,7,1,2024-01-08 13:00:00
437,127,5,2024-01-08 14:00:00
494,168,1,2024-01-08 15:00:00
