user_id,age,gender
1,56,M
2,46,M
3,32,M
4,60,M
5,25,M
6,38,F
7,56,M
8,36,M
9,40,M
10,28,F
11,28,F
12,41,M
13,53,F
14,57,M
15,41,M
16,20,F
17,39,M
18,19,F
19,41,F
20,61,M
21,47,M
22,55,F
23,19,M
24,38,M
25,50,M
26,29,F
27,39,F
28,61,M
29,42,F
30,44,F
31,59,F
32,45,F
33,33,F
34,32,M
35,64,M
36,61,M
37,20,F
38,54,F
39,24,M
40,38,F
41,26,M
42,56,M
43,35,M
44,21,F
45,42,F
46,31,M
47,26,M
48,43,M
49,19,M
50,37,F
51,45,F
52,64,M
53,24,M
54,61,F
55,25,F
56,64,M
57,52,M
58,31,M
59,34,F
60,53,F
61,57,F
62,21,M
63,19,M
64,23,F
65,59,F
66,21,M
67,46,F
68,35,F
69,43,M
70,61,F
71,51,M
72,27,M
73,53,M
74,31,M
75,48,M
76,32,M
77,25,M
78,31,F
79,40,M
80,57,M
81,38,F
82,33,F
83,62,F
84,35,M
85,64,F
86,41,M
87,43,M
88,42,M
89,62,M
90,58,F
91,46,F
92,32,M
93,62,M
94,18,M
95,42,F
96,24,M
97,26,M
98,41,F
99,18,F
100,61,M
101,25,F
102,41,F
103,28,M
104,34,F
105,25,M
106,52,F
107,52,M
108,50,M
109,22,M
110,59,F
111,56,M
112,58,F
113,45,M
114,24,M
115,26,F
116,25,M
117,29,M
118,51,F
119,50,M
120,40,M
121,41,M
122,54,M
123,52,F
124,61,F
125,57,M
126,39,F
127,44,M
128,52,F
129,18,M
130,52,M
131,54,M
132,64,M
133,31,M
134,20,M
135,18,F
136,22,M
137,43,F
138,31,M
139,56,F
140,44,F
141,26,F
142,32,M
143,32,M
144,43,F
145,59,M
146,30,F
147,49,M
148,56,F
149,49,F
150,21,M
151,47,F
152,54,M
153,40,F
154,56,F
155,62,M
156,32,M
157,60,M
158,46,F
159,53,M
160,30,F
161,49,F
162,24,M
163,39,M
164,45,F
165,19,F
166,59,M
167,62,M
168,23,M
169,45,M
170,45,M
171,61,F
172,61,F
173,37,F
174,47,F
175,28,M
176,45,M
177,42,M
178,56,F
179,50,F
180,18,M
181,44,M
182,30,F
183,58,F
184,20,M
185,56,M
186,23,F
187,25,M
188,44,M
189,26,M
190,54,F
191,50,F
192,59,F
193,61,F
194,41,F
195,32,F
196,49,F
197,49,M
198,41,M
199,58,M
200,29,M
201,56,M
202,19,M
203,20,M
204,54,F
205,34,F
206,19,M
207,19,M
208,45,F
209,40,M
210,54,M
211,49,F
212,50,M
213,18,F
214,36,M
215,19,F
216,61,F
217,43,F
218,49,M
219,23,F
220,49,M
221,21,M
222,28,M
223,34,M
224,55,F
225,41,F
226,22,M
227,51,M
228,23,F
229,39,M
230,28,F
231,33,M
232,50,M
233,26,F
234,23,M
235,33,F
236,46,M
237,20,M
238,37,M
239,53,F
240,36,M
241,43,M
242,20,M
243,36,M
244,37,F
245,49,F
246,24,M
247,58,F
248,50,M
249,57,M
250,56,M
251,35,F
252,57,F
253,18,F
254,28,F
255,45,F
256,42,F
257,40,F
258,48,F
259,47,F
260,59,M
261,52,F
262,24,F
263,33,F
264,43,F
265,19,F
266,18,F
267,29,F
268,22,F
269,54,F
270,49,F
271,26,F
272,58,M
273,52,M
274,36,F
275,33,F
276,20,M
277,37,F
278,41,M
279,50,M
280,41,M
281,28,M
282,25,M
283,53,F
284,55,M
285,57,F
286,37,F
287,52,M
288,42,M
289,52,F
290,42,M
291,46,M
292,35,F
293,63,F
294,35,M
295,19,F
296,52,M
297,33,M
298,58,M
299,53,F
300,50,F
301,21,F
302,50,F
303,31,F
304,38,M
305,37,M
306,25,M
307,24,M
308,20,F
309,34,M
310,50,F
311,29,M
312,39,F
313,39,F
314,63,M
315,47,M
316,55,M
317,55,M
318,62,F
319,25,M
320,44,M
321,44,F
322,51,M
323,38,M
324,47,M
325,50,M
326,45,M
327,64,F
328,50,M
329,22,M
330,36,M
331,21,M
332,52,M
333,34,F
334,61,M
335,45,F
336,47,F
337,46,M
338,63,M
339,23,M
340,52,M
341,58,F
342,54,M
343,41,M
344,46,M
345,63,M
346,48,M
347,52,M
348,50,F
349,38,F
350,49,M
351,40,M
352,50,M
353,20,F
354,35,M
355,42,F
356,59,M
357,48,M
358,20,M
359,57,M
360,63,F
361,41,F
362,49,M
363,64,M
364,39,F
365,40,F
366,19,F
367,44,F
368,59,M
369,19,F
370,43,M
371,34,F
372,57,F
373,50,F
374,26,F
375,60,F
376,56,M
377,46,M
378,59,F
379,43,F
380,52,M
381,42,F
382,41,F
383,30,M
384,24,F
385,53,F
386,62,M
387,37,M
388,18,M
389,25,F
390,63,M
391,33,M
392,31,M
393,29,M
394,40,M
395,32,M
396,45,F
397,51,F
398,19,M
399,49,M
400,40,M
401,39,F
402,42,F
403,39,F
404,39,F
405,59,F
406,23,F
407,32,F
408,60,F
409,54,F
410,50,M
411,25,M
412,61,M
413,61,M
414,22,F
415,56,F
416,21,M
417,23,F
418,62,M
419,49,F
420,47,M
421,64,F
422,52,F
423,57,M
424,33,F
425,30,M
426,59,M
427,47,M
428,36,M
429,34,F
430,36,F
431,45,F
432,43,M
433,54,F
434,43,M
435,40,F
436,26,F
437,29,F
438,18,M
439,18,F
440,64,F
441,51,M
442,49,F
443,42,M
444,57,F
445,62,M
446,18,M
447,33,F
448,56,M
449,22,M
450,39,M
451,46,M
452,20,M
453,29,M
454,43,F
455,33,M
456,54,M
457,39,F
458,46,F
459,31,F
460,45,F
461,22,F
462,64,F
463,47,F
464,63,M
465,22,M
466,29,F
467,33,M
468,43,M
469,43,M
470,38,F
471,56,F
472,53,M
473,50,F
474,47,M
475,54,M
476,40,M
477,27,M
478,22,F
479,53,F
480,51,F
481,48,M
482,27,F
483,36,M
484,49,F
485,18,M
486,22,M
487,62,M
488,21,F
489,33,F
490,41,F
491,33,F
492,19,M
493,45,F
494,49,F
495,44,M
496,37,M
497,41,M
498,29,F
499,52,M
500,50,M
