zone_id,latitude,longitude,hour,day_of_week,month,is_holiday,temperature,precipitation,event_nearby,population_density,num_restaurants,transit_stops_nearby,demand_count
Downtown Commercial Core,51.049865,-114.058744,14,3,2,0,-2.1,0.4,0,9194.0,132,27,14
Shawnessy,50.912821,-114.064501,23,6,9,1,11.3,4.2,0,1900.0,8,1,2
Bridgeland,51.056497,-114.044172,10,5,7,0,13.3,7.0,0,7505.0,38,33,26
Crescent Heights,51.05315,-114.055371,11,1,9,0,15.1,0.6,0,4062.0,74,4,11
Cliff Bungalow,51.034289,-114.076561,11,5,2,0,-12.6,0.3,0,2836.0,77,7,8
East Village,51.046077,-114.050223,1,6,12,0,-7.6,1.6,0,14642.0,72,17,2
Bankview,51.033986,-114.091579,16,1,7,0,16.7,12.7,0,3178.0,18,7,28
Tuscany,51.125782,-114.222878,7,4,1,0,-6.5,1.2,0,425.0,14,1,5
Tuscany,51.131314,-114.228047,3,5,5,0,15.3,0.9,0,425.0,14,1,2
Crescent Heights,51.060991,-114.065666,3,0,10,0,5.8,1.1,0,4062.0,74,4,2
Eau Claire,51.056441,-114.073025,2,6,3,0,-8.2,0.5,0,8455.0,24,4,0
Beltline,51.042629,-114.074722,12,5,9,0,10.7,3.4,0,12253.0,72,21,28
University District,51.079111,-114.125634,19,3,6,0,16.9,5.2,1,1952.0,4,5,29
17th Avenue SW,51.037135,-114.081621,12,3,11,0,-6.3,0.3,0,10501.0,66,8,16
Cliff Bungalow,51.036011,-114.081864,16,5,8,0,21.3,1.2,0,2836.0,77,7,14
Bankview,51.032198,-114.090963,21,4,3,0,0.4,0.9,0,3178.0,18,7,16
Ramsay,51.037716,-114.03228,1,6,1,0,-8.0,0.7,0,4208.0,75,13,0
Downtown Commercial Core,51.050999,-114.061162,5,0,2,0,6.3,0.9,1,9194.0,132,27,8
Shawnessy,50.908024,-114.061811,2,4,6,0,19.1,5.1,0,1900.0,8,1,0
Kensington,51.051966,-114.087644,14,2,6,0,14.3,1.7,0,8998.0,148,16,23
Marda Loop,51.027811,-114.095502,15,1,3,0,1.1,0.5,0,1451.0,7,3,12
Sunnyside,51.060778,-114.079191,23,3,7,0,13.0,20.1,1,1031.0,28,19,10
Mount Royal,51.033001,-114.086493,13,4,10,0,6.8,5.1,0,10123.0,46,3,22
17th Avenue SW,51.03774,-114.079293,7,0,6,0,19.4,2.6,0,10501.0,66,8,29
Marlborough,51.053409,-113.969402,18,1,12,0,-8.6,2.0,0,1531.0,10,4,6
Tuscany,51.13049,-114.222983,2,1,11,0,-9.0,1.1,0,425.0,14,1,0
Mount Royal,51.032107,-114.080379,20,3,12,0,-7.1,0.1,0,10123.0,46,3,11
