employee_id,department,role_level,tenure_months,recognition_events_received,recognition_events_given,reward_type,monthly_recognition_frequency,avg_reward_value,peer_vs_manager_ratio,engagement_score,satisfaction_survey,absenteeism_days,is_disengaged
EMP-00001,Sales,Senior,40,6,6,Badge,0.5,6.47,0.75,7.0,4.6,3,0
EMP-00002,Customer Support,Senior,47,9,3,Points,0.75,48.41,0.48,4.4,4.2,5,0
EMP-00003,Operations,Junior,44,5,3,Badge,0.42,6.59,0.67,6.2,3.7,2,0
EMP-00004,Marketing,Manager,57,13,6,Badge,1.08,1.74,0.79,9.8,5.0,5,0
EMP-00005,Engineering,Mid,8,4,3,Points,0.33,43.64,0.73,6.0,3.5,6,0
EMP-00006,Engineering,Mid,30,7,2,Points,0.58,31.05,0.72,8.5,5.0,5,0
EMP-00007,Engineering,Senior,36,9,6,Points,0.75,32.79,0.43,6.6,4.1,1,0
EMP-00008,Customer Support,Junior,5,1,2,Points,0.08,28.1,0.66,4.8,3.4,5,0
EMP-00009,Marketing,Senior,46,5,3,Badge,0.42,7.34,0.51,6.6,4.1,5,0
EMP-00010,Operations,Junior,5,4,0,Points,0.33,48.16,0.46,4.9,3.2,7,0
EMP-00011,Engineering,Senior,42,9,7,Monetary,0.75,90.58,0.51,6.7,5.0,5,0
EMP-00012,Customer Support,Mid,34,3,2,PTO,0.25,195.21,0.54,5.9,3.4,2,0
EMP-00013,Operations,Mid,30,10,3,Badge,0.83,8.54,0.43,6.3,4.1,3,0
EMP-00014,Engineering,Junior,18,2,1,Points,0.17,44.55,0.41,7.2,4.0,4,0
EMP-00015,Engineering,Senior,78,8,4,Badge,0.67,8.23,0.51,8.3,4.0,3,0
EMP-00016,Engineering,Senior,46,8,7,Monetary,0.67,123.14,0.8,8.8,3.5,5,0
EMP-00017,Sales,Mid,27,11,2,PTO,0.92,284.06,0.36,7.6,5.0,1,0
EMP-00018,Marketing,Mid,16,3,1,Monetary,0.25,54.73,0.94,6.9,3.5,4,0
EMP-00019,Sales,Mid,30,11,1,PTO,0.92,100.8,0.69,8.2,4.3,6,0
EMP-00020,Sales,Manager,84,18,5,PTO,1.5,104.27,0.45,10.0,4.1,2,0
EMP-00021,Marketing,Mid,44,6,5,Points,0.5,23.11,0.66,8.7,3.9,3,0
EMP-00022,Engineering,Senior,61,9,4,Badge,0.75,6.67,0.77,8.0,4.9,4,0
EMP-00023,Sales,Senior,56,13,8,PTO,1.08,155.2,0.89,8.9,4.7,4,0
EMP-00024,Sales,Mid,24,8,1,PTO,0.67,287.46,0.71,5.9,4.5,6,0
EMP-00025,Sales,Junior,7,5,3,Badge,0.42,2.41,0.35,4.8,4.0,9,0
EMP-00026,Operations,Mid,35,8,1,Badge,0.67,8.14,0.14,7.3,4.8,2,0
EMP-00027,Engineering,Senior,42,9,2,Monetary,0.75,161.86,0.23,7.0,4.6,7,0
EMP-00028,Sales,Junior,6,3,3,Points,0.25,19.89,0.86,5.3,3.6,4,0
EMP-00029,Marketing,Mid,34,5,2,Points,0.42,26.18,0.69,8.3,4.3,3,0
EMP-00030,Engineering,Senior,73,8,6,Monetary,0.67,158.28,0.79,8.1,4.4,4,0
EMP-00031,Marketing,Mid,46,5,3,Points,0.42,43.44,0.65,6.7,3.4,2,0
EMP-00032,Engineering,Mid,23,4,3,Badge,0.33,6.82,0.64,8.1,4.3,4,0
EMP-00033,Engineering,Junior,10,3,1,Points,0.25,46.5,0.36,3.5,2.9,6,1
