user_id,company_id,plan_tier,signup_date,industry,daily_logins,features_used,session_duration_min,actions_per_session,last_active_date,days_since_last_login,monthly_active_days,support_tickets,nps_score,is_churned
USR-00001,CMP-0103,Free,2024-02-14,E-commerce,4.9,4,1.1,10.3,2025-09-30,1,1,4,3,0
USR-00002,CMP-0436,Enterprise,2024-11-08,Marketing,14.7,18,35.5,18.0,2025-09-30,1,15,1,8,0
USR-00003,CMP-0271,Free,2025-03-07,E-commerce,4.1,1,4.9,1.0,2025-08-22,40,9,2,8,0
USR-00004,CMP-0107,Free,2024-04-09,Manufacturing,6.2,15,1.0,13.2,2025-09-22,9,10,3,8,0
USR-00005,CMP-0072,Free,2024-06-01,Manufacturing,0.7,9,4.8,7.9,2025-09-17,14,14,4,5,0
USR-00006,CMP-0021,Pro,2024-10-25,Media,16.5,9,30.7,10.1,2025-09-25,6,25,3,4,0
USR-00007,CMP-0122,Enterprise,2025-02-03,Consulting,20.1,17,42.6,17.1,2025-10-01,0,23,1,9,0
USR-00008,CMP-0467,Free,2024-12-01,E-commerce,14.9,5,5.0,12.7,2025-09-25,6,22,2,6,0
USR-00009,CMP-0215,Pro,2024-01-05,E-commerce,18.1,14,21.6,8.5,2025-09-23,8,23,3,7,0
USR-00010,CMP-0331,Pro,2025-01-24,Marketing,8.2,19,36.7,18.1,2025-09-06,25,17,2,8,0
USR-00011,CMP-0459,Enterprise,2023-12-26,Technology,16.5,15,18.2,14.1,2025-10-01,0,23,2,7,0
USR-00012,CMP-0088,Free,2024-08-05,Media,3.5,1,6.2,6.6,2025-09-24,7,12,2,1,0
USR-00013,CMP-0373,Pro,2023-12-02,Media,0.7,8,27.8,10.5,2025-10-01,0,0,1,5,0
USR-00014,CMP-0100,Free,2024-08-27,Media,0.3,1,1.1,5.6,2025-09-28,3,0,2,0,0
USR-00015,CMP-0131,Enterprise,2023-12-19,Consulting,20.2,10,36.9,12.0,2025-09-30,1,30,1,8,0
USR-00016,CMP-0309,Pro,2023-10-20,Logistics,18.3,10,17.6,8.2,2025-09-26,5,24,4,6,0
USR-00017,CMP-0344,Free,2023-11-28,Finance,1.6,2,16.5,8.2,2025-09-28,3,0,0,7,1
USR-00018,CMP-0492,Pro,2025-01-13,Technology,21.0,16,12.1,18.2,2025-09-30,1,25,2,8,0
USR-00019,CMP-0414,Pro,2023-10-31,Consulting,10.7,11,26.6,14.5,2025-09-21,10,14,1,6,0
USR-00020,CMP-0386,Free,2025-03-24,Manufacturing,3.0,3,1.0,9.2,2025-08-16,46,2,0,3,0
USR-00021,CMP-0192,Enterprise,2024-07-16,Marketing,20.8,21,31.5,21.1,2025-09-30,1,22,1,6,0
USR-00022,CMP-0277,Free,2024-01-12,Logistics,3.9,12,28.3,17.0,2025-09-15,16,7,3,10,0
USR-00023,CMP-0161,Pro,2024-09-25,Manufacturing,8.5,13,37.5,14.5,2025-09-29,2,7,1,6,1
USR-00024,CMP-0460,Pro,2024-12-12,Logistics,11.0,11,27.9,11.1,2025-09-13,18,15,1,6,0
USR-00025,CMP-0314,Pro,2025-03-10,Education,19.3,6,32.0,7.8,2025-09-24,7,22,4,7,0
USR-00026,CMP-0022,Free,2023-11-23,Media,3.6,1,1.8,3.7,2025-09-09,22,12,2,1,0
USR-00027,CMP-0253,Enterprise,2023-11-14,Logistics,9.8,12,29.2,11.0,2025-10-01,0,14,2,7,0
USR-00028,CMP-0561,Pro,2023-10-08,Healthcare,10.4,13,21.0,18.3,2025-09-25,6,16,2,5,0
USR-00029,CMP-0475,Pro,2025-02-02,Media,12.7,9,17.7,11.1,2025-09-26,5,7,0,4,1
USR-00030,CMP-0059,Enterprise,2024-08-19,Media,22.2,15,39.3,15.3,2025-09-30,1,28,2,7,0
USR-00031,CMP-0511,Pro,2025-03-01,Marketing,9.1,15,26.8,16.2,2025-09-29,2,12,2,7,0
USR-00032,CMP-0476,Free,2024-01-05,Technology,0.4,1,7.3,12.7,2025-09-19,12,7,1,2,1
USR-00033,CMP-0190,Free,2023-11-20,Manufacturing,9.7,15,8.5,11.6,2025-09-14,17,13,1,4,1
USR-00034,CMP-0563,Enterprise,2025-03-11,Logistics,24.4,12,41.2,10.1,2025-10-01,0,22,0,8,0
USR-00035,CMP-0567,Free,2025-03-04,Logistics,0.8,9,6.3,6.1,2025-09-20,11,4,1,6,1
USR-00036,CMP-0244,Pro,2025-03-24,Education,4.1,7,31.2,7.9,2025-09-30,1,12,1,6,0
USR-00037,CMP-0505,Enterprise,2024-05-21,Media,16.1,12,22.1,13.3,2025-10-01,0,21,1,8,0
USR-00038,CMP-0131,Free,2025-04-04,E-commerce,3.6,8,9.6,8.0,2025-09-18,13,10,1,4,0
USR-00039,CMP-0485,Pro,2024-01-26,Finance,8.2,13,33.7,11.8,2025-09-29,2,14,4,9,0
USR-00040,CMP-0021,Pro,2024-11-20,E-commerce,18.8,10,6.9,11.4,2025-09-27,4,21,0,8,0
USR-00041,CMP-0167,Pro,2024-09-21,Logistics,14.1,16,32.8,14.3,2025-09-28,3,18,1,5,0
USR-00042,CMP-0274,Free,2024-11-23,E-commerce,5.3,2,3.7,5.5,2025-09-17,14,7,7,4,1
USR-00043,CMP-0388,Free,2025-01-09,Marketing,4.7,9,5.2,13.5,2025-09-23,8,18,3,6,1
USR-00044,CMP-0316,Pro,2023-12-16,Healthcare,8.3,10,8.0,13.0,2025-09-08,23,14,0,5,0
USR-00045,CMP-0014,Enterprise,2024-05-16,Logistics,5.5,18,53.0,20.0,2025-09-30,1,5,1,5,0
USR-00046,CMP-0242,Enterprise,2024-10-07,Logistics,23.7,15,43.8,18.3,2025-09-27,4,22,1,8,0
USR-00047,CMP-0346,Pro,2023-11-06,Healthcare,10.6,11,15.6,12.6,2025-09-29,2,17,1,6,0
USR-00048,CMP-0565,Free,2024-10-12,Manufacturing,1.3,2,7.6,4.1,2025-09-22,9,12,3,7,0
USR-00049,CMP-0340,Pro,2025-03-15,Healthcare,13.1,9,20.5,7.9,2025-09-26,5,14,3,7,0
USR-00050,CMP-0092,Free,2024-12-21,E-commerce,9.8,8,21.6,8.2,2025-09-26,5,19,6,7,1
