threshold,true_positives,false_positives,false_negatives,true_negatives,outreach_count,outreach_cost,revenue_saved,net_savings,churners_caught_pct
0.05,132,309,0,159,441,35280,166320.0,131040.0,100.0
0.075,131,226,1,242,357,28560,165060.0,136500.0,99.2
0.1,128,163,4,305,291,23280,161280.0,138000.0,97.0
0.125,122,131,10,337,253,20240,153720.0,133480.0,92.4
0.15,117,123,15,345,240,19200,147420.0,128220.0,88.6
0.175,114,119,18,349,233,18640,143640.0,125000.0,86.4
0.2,114,117,18,351,231,18480,143640.0,125160.0,86.4
0.225,113,117,19,351,230,18400,142380.0,123980.0,85.6
0.25,110,115,22,353,225,18000,138600.0,120600.0,83.3
0.275,110,115,22,353,225,18000,138600.0,120600.0,83.3
0.3,108,113,24,355,221,17680,136080.0,118400.0,81.8
0.325,105,106,27,362,211,16880,132300.0,115420.0,79.5
0.35,102,99,30,369,201,16080,128520.0,112440.0,77.3
0.375,95,91,37,377,186,14880,119700.0,104820.0,72.0
0.4,89,84,43,384,173,13840,112140.0,98300.0,67.4
0.425,83,74,49,394,157,12560,104580.0,92020.0,62.9
0.45,74,63,58,405,137,10960,93240.0,82280.0,56.1
0.475,66,57,66,411,123,9840,83160.0,73320.0,50.0
0.5,55,43,77,425,98,7840,69300.0,61460.0,41.7
0.525,50,32,82,436,82,6560,63000.0,56440.0,37.9
0.55,36,24,96,444,60,4800,45360.0,40560.0,27.3
0.575,27,14,105,454,41,3280,34020.0,30740.0,20.5
0.6,17,6,115,462,23,1840,21420.0,19580.0,12.9
0.625,11,3,121,465,14,1120,13860.0,12740.0,8.3
0.65,6,3,126,465,9,720,7560.0,6840.0,4.5
0.675,4,2,128,466,6,480,5040.0,4560.0,3.0
0.7,1,1,131,467,2,160,1260.0,1100.0,0.8
0.725,0,1,132,467,1,80,0.0,-80.0,0.0
0.75,0,1,132,467,1,80,0.0,-80.0,0.0
0.775,0,0,132,468,0,0,0.0,0.0,0.0
0.8,0,0,132,468,0,0,0.0,0.0,0.0
0.825,0,0,132,468,0,0,0.0,0.0,0.0
0.85,0,0,132,468,0,0,0.0,0.0,0.0
0.875,0,0,132,468,0,0,0.0,0.0,0.0
0.9,0,0,132,468,0,0,0.0,0.0,0.0
